Unnamed: 0,2021-06-14 20:11:51.400090,2021-06-15 12:24:28.087918,2021-06-17 17:00:21.483857,2021-06-17 17:05:02.156113,2021-06-18 13:05:02.816042,2021-06-19 09:06:51.224857,2021-06-20 09:05:02.266565,2021-06-21 09:07:14.384251,2021-06-22 09:05:02.576620
29,"30, Ханза, Ramil', Плачь и Танцуй","30, NLO, Не грусти","30, Moreart feat. IHI, Я буду е***ь ","30, Moreart feat. IHI, Я буду е***ь ","30, Moreart feat. IHI, Я буду е***ь ","30, Леша Свик, Сиреневый закат","30, MORGENSHTERN, Imanbek, Fetty Wap feat. KDDK, Leck","30, The Limba, Скриптонит, Ронин","30, Moreart feat. IHI, Я буду е***ь "
30,"31, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","31, Zivert, Рокки","31, Zivert, Рокки","31, Zivert, Рокки","31, Zivert, Рокки","31, Galibri & Mavik, Федерико Феллини","31, Ганвест, Дурная","31, Artik & Asti, Истеричка","31, The Limba, Скриптонит, Ронин"
31,"32, Måneskin, ZITTI E BUONI","32, NLO, Напиваюсь","32, NLO, Напиваюсь","32, NLO, Напиваюсь","32, Måneskin, ZITTI E BUONI","32, Ганвест, Дурная","32, Artik & Asti, Истеричка","32, Ганвест, Дурная","32, Miyagi & Andy Panda, Minor"
32,"33, NLO, Напиваюсь","33, Ханза, Ramil', Плачь и Танцуй","33, Artik & Asti, Истеричка","33, Artik & Asti, Истеричка","33, Galibri & Mavik, Федерико Феллини","33, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","33, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","33, Moreart feat. IHI, Я буду е***ь ","33, Ганвест, Дурная"
33,"34, Элджей, Первая Полоса","34, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","34, NLO, Не грусти","34, NLO, Не грусти","34, Artik & Asti, Истеричка","34, Moreart feat. IHI, Я буду е***ь ","34, Леша Свик, Сиреневый закат","34, Miyagi & Andy Panda, Minor","34, Pretty Scream, MAYOT, Ты"
34,"35, Zivert, Рокки","35, Moreart feat. IHI, Я буду е***ь","35, Ханза, Ramil', Плачь и Танцуй","35, Ханза, Ramil', Плачь и Танцуй","35, NLO, Не грусти","35, Artik & Asti, Истеричка","35, Moreart feat. IHI, Я буду е***ь ","35, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ","35, MORGENSHTERN, SODA LUV, blago white, OG Buda, MAYOT, Cristal & МОЁТ"
35,"36, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","36, Элджей, Первая Полоса","36, ooes, зима","36, ooes, зима","36, Ханза, Ramil', Плачь и Танцуй","36, MAYOT, Снег","36, NLO, Не грусти","36, NLO, Не грусти","36, Леша Свик, Сиреневый закат"
36,"37, Moreart feat. IHI, Я буду е***ь","37, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","37, Элджей, Первая Полоса","37, Элджей, Первая Полоса","37, NLO, Напиваюсь","37, NLO, Не грусти","37, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","37, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","37, MAYOT, Снег"
37,"38, Лилу45, Восемь","38, Måneskin, ZITTI E BUONI","38, MORGENSHTERN, OLALA","38, MORGENSHTERN, OLALA","38, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","38, Ханза, Ramil', Плачь и Танцуй","38, MAYOT, Снег","38, Леша Свик, Сиреневый закат","38, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)"
38,"39, MORGENSHTERN, OLALA","39, Лилу45, Восемь","39, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","39, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","39, MORGENSHTERN, OLALA","39, 104 feat. Miyagi, Скриптонит, НЕ ЖАЛЬ (feat. Miyagi & Скриптонит)","39, Ханза, Ramil', Плачь и Танцуй","39, MAYOT, Снег","39, Artik & Asti, Истеричка"
39,"40, Miyagi & Andy Panda, Minor","40, MORGENSHTERN, OLALA","40, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","40, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","40, Элджей, Первая Полоса","40, MORGENSHTERN, OLALA","40, Miyagi & Andy Panda, Minor","40, Pretty Scream, MAYOT, Ты","40, NLO, Не грусти"
40,"41, MORGENSHTERN, ARISTOCRAT","41, MORGENSHTERN, ARISTOCRAT","41, Måneskin, ZITTI E BUONI","41, Måneskin, ZITTI E BUONI","41, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","41, Måneskin, ZITTI E BUONI","41, Pretty Scream, MAYOT, Ты","41, Ханза, Ramil', Плачь и Танцуй","41, Måneskin, ZITTI E BUONI"
41,"42, SEEMEE feat. SODA LUV, Голодный пёс","42, Miyagi & Andy Panda, Minor","42, Galibri & Mavik, Федерико Феллини","42, Galibri & Mavik, Федерико Феллини","42, Miyagi & Andy Panda, Minor","42, NLO, Напиваюсь","42, MORGENSHTERN, OLALA","42, Miyagi & Andy Panda, Там ревели горы","42, Ханза, Ramil', Плачь и Танцуй"
42,"43, Masked Wolf, Astronaut In The Ocean","43, SEEMEE feat. SODA LUV, Голодный пёс","43, Лилу45, Восемь","43, Лилу45, Восемь","43, Лилу45, Восемь","43, Miyagi & Andy Panda, Minor","43, Миша Марвин, Девочка, не бойся","43, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","43, Miyagi & Andy Panda, Там ревели горы"
43,"44, Miyagi & Andy Panda, Там ревели горы","44, Masked Wolf, Astronaut In The Ocean","44, Miyagi & Andy Panda, Minor","44, Miyagi & Andy Panda, Minor","44, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","44, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","44, Лилу45, Восемь","44, MORGENSHTERN, OLALA","44, MORGENSHTERN, OLALA"
44,"45, МОТ, JONY, Лилии","45, МОТ, JONY, Лилии","45, SEEMEE feat. SODA LUV, Голодный пёс","45, SEEMEE feat. SODA LUV, Голодный пёс","45, SEEMEE feat. SODA LUV, Голодный пёс","45, Лилу45, Восемь","45, Miyagi & Andy Panda, Там ревели горы","45, Миша Марвин, Девочка, не бойся","45, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)"
45,"46, SODA LUV, WHY BERRY, Бигасс","46, ooes, зима","46, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","46, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","46, ooes, зима","46, Миша Марвин, Девочка, не бойся","46, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","46, SEEMEE feat. SODA LUV, Голодный пёс","46, Миша Марвин, Девочка, не бойся"
46,"47, MORGENSHTERN, PABLO","47, Miyagi & Andy Panda, Там ревели горы","47, SODA LUV, WHY BERRY, Бигасс","47, SODA LUV, WHY BERRY, Бигасс","47, Miyagi & Andy Panda, Там ревели горы","47, Элджей, Первая Полоса","47, Masked Wolf, Astronaut In The Ocean","47, Лилу45, Восемь","47, SEEMEE feat. SODA LUV, Голодный пёс"
47,"48, BODIEV, Крузак 200","48, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","48, Masked Wolf, Astronaut In The Ocean","48, Masked Wolf, Astronaut In The Ocean","48, Masked Wolf, Astronaut In The Ocean","48, SEEMEE feat. SODA LUV, Голодный пёс","48, SEEMEE feat. SODA LUV, Голодный пёс","48, Masked Wolf, Astronaut In The Ocean","48, Лилу45, Восемь"
48,"49, Скриптонит, Будьте здоровы","49, SODA LUV, WHY BERRY, Бигасс","49, MORGENSHTERN, DINERO","49, MORGENSHTERN, DINERO","49, Скриптонит, Райда, Baby mama","49, Zivert, Рокки","49, Måneskin, ZITTI E BUONI","49, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)","49, Скриптонит, Райда, Baby mama"
49,"50, Хабиб, Ягода малинка","50, Скриптонит, Будьте здоровы","50, Miyagi & Andy Panda, Там ревели горы","50, Miyagi & Andy Panda, Там ревели горы","50, SODA LUV, WHY BERRY, Бигасс","50, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","50, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","50, Скриптонит, Райда, Baby mama","50, NLO, Напиваюсь"
50,"51, SLAVA MARLOW, ТЫ ГОРИШЬ КАК ОГОНЬ","51, MORGENSHTERN, PABLO","51, МОТ, JONY, Лилии","51, МОТ, JONY, Лилии","51, MORGENSHTERN, DINERO","51, Miyagi & Andy Panda, Там ревели горы","51, Хабиб, Ягода малинка","51, Måneskin, ZITTI E BUONI","51, Masked Wolf, Astronaut In The Ocean"
51,"52, ooes, зима","52, Jamik, PUSSYKILLER, Франция","52, Асия, Аня Pokrov, Любовь с картинки","52, Асия, Аня Pokrov, Любовь с картинки","52, МОТ, JONY, Лилии","52, Masked Wolf, Astronaut In The Ocean","52, NLO, Напиваюсь","52, Клава Кока, Руки Вверх, Нокаут","52, The Hatters feat. Джарахов, Я делаю шаг (feat. Джарахов)"
52,"53, RAIKAHO, Soul, Из чёрного мерина (by Atlanta)","53, BODIEV, Крузак 200","53, MORGENSHTERN, PABLO","53, MORGENSHTERN, PABLO","53, Клава Кока, Руки Вверх, Нокаут","53, Скриптонит, Райда, Baby mama","53, Клава Кока, Руки Вверх, Нокаут","53, МОТ, JONY, Лилии","53, МОТ, JONY, Лилии"
